cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
00777C104,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,
76119X113,Domestic Common Stock Warrant,Communication Services,Entertainment,7900,Services,Services-Amusement & Recreation Services,,Entertainment,
36269B105,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
54911Q107,Domestic Common Stock,Technology,Software - Infrastructure,7389,Services,Services-Business Services Nec,,Business Services,
00191U102,Domestic Common Stock,Technology,Information Technology Services,7363,Services,Services-Help Supply Services,,Business Services,
31812F109,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,
38267D109,Domestic Common Stock,Financial Services,Insurance - Diversified,6411,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,,Insurance,
Y67305121,ADR Common Stock,Industrials,Marine Shipping,4412,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,,Transportation,
09354A118,Domestic Common Stock Warrant,Industrials,Engineering & Construction,3790,Manufacturing,Miscellaneous Transportation Equipment,,Automobiles and Trucks,
106762107,ADR Common Stock Primary Class,Healthcare,Biotechnology,8071,Services,Services-Medical Laboratories,,Healthcare,
106762115,ADR Common Stock Warrant,Healthcare,Biotechnology,8071,Services,Services-Medical Laboratories,,Healthcare,
15673X119,Domestic Common Stock Warrant,Technology,Scientific & Technical Instruments,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,
54570M116,Domestic Common Stock Warrant,Consumer Cyclical,Gambling,7372,Services,Services-Prepackaged Software,,Business Services,
168913309,Domestic Common Stock,Utilities,Utilities - Renewable,7389,Services,Services-Business Services Nec,,Business Services,
22530J119,Domestic Common Stock Warrant,Technology,Software - Application,7373,Services,Services-Computer Integrated Systems Design,,Computers,
22877P108,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
29137T101,Domestic Common Stock Primary Class,Healthcare,Biotechnology,8090,Services,Services-Misc Health & Allied Services Nec,,Healthcare,
29429X109,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
29978K102,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
30053M104,Domestic Common Stock,Energy,Oil & Gas Midstream,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,
16842Q209,Domestic Preferred Stock,Communication Services,Entertainment,7819,Services,Services-Allied To Motion Picture Production,,Entertainment,
302314208,Domestic Common Stock,Technology,Software - Application,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,
30320F205,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
31811H114,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
364681106,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
12521H206,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
37653T116,Domestic Common Stock Warrant,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,
46301G103,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
465246106,Domestic Common Stock Primary Class,Technology,Solar,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,
553800103,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
57778T114,ADR Common Stock Warrant,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
38286T119,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
670865104,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
68234L306,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
68237L105,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
096308101,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,
63909J108,Domestic Common Stock,Healthcare,Biotechnology,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,
760873109,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
77510920,Canadian Common Stock,Communication Services,Telecom Services,4841,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,,Communication,
83014E109,ADR Common Stock Primary Class,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,
826332116,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
817323207,ADR Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,
